2012-01-01	09:06	Mesa	Children's Clothing	314.05	MasterCard
2012-01-01	09:09	Mesa	Garden	70.75	MasterCard
2012-01-01	09:12	Mesa	Video Games	27.56	Discover
2012-01-01	09:12	Mesa	Toys	11.54	Cash
2012-01-01	09:13	Mesa	Baby	270.85	MasterCard
2012-01-01	09:18	Mesa	Baby	249.36	Amex
2012-01-01	09:19	Mesa	Women's Clothing	284.34	Discover
2012-01-01	09:21	Mesa	Computers	62.13	MasterCard
2012-01-01	09:21	Mesa	Garden	99.81	Cash
2012-01-01	09:24	Mesa	Consumer Electronics	110.66	MasterCard
2012-01-01	09:29	Mesa	Pet Supplies	214.78	MasterCard
2012-01-01	09:42	Mesa	Books	363.34	Amex
2012-01-01	09:46	Mesa	CDs	285.57	MasterCard
2012-01-01	09:51	Mesa	Crafts	23.96	Discover
2012-01-01	09:52	Mesa	Toys	227.98	MasterCard
2012-01-01	09:52	Mesa	Books	105.42	Discover
2012-01-01	09:54	Mesa	Crafts	461.05	Cash
2012-01-01	09:58	Mesa	Pet Supplies	315.23	Cash
2012-01-01	10:07	Mesa	Music	29.61	Visa
2012-01-01	10:11	Mesa	Consumer Electronics	382.95	Discover
2012-01-01	10:15	Mesa	Toys	380.55	Discover
2012-01-01	10:15	Mesa	Computers	344.3	Cash
2012-01-01	10:19	Mesa	Health and Beauty	181.9	Cash
2012-01-01	10:23	Mesa	Sporting Goods	425.49	MasterCard
2012-01-01	10:41	Mesa	Toys	187.6	MasterCard
2012-01-01	10:42	Mesa	Toys	98.49	MasterCard
2012-01-01	10:48	Mesa	Music	215.1	Amex
2012-01-01	10:49	Mesa	Health and Beauty	169.95	Cash
2012-01-01	10:52	Mesa	Computers	211.1	Cash
2012-01-01	10:58	Mesa	DVDs	361.41	MasterCard
2012-01-01	11:16	Mesa	Toys	89.61	Amex
2012-01-01	11:17	Mesa	CDs	343.55	Cash
2012-01-01	11:23	Mesa	Baby	243.24	Cash
2012-01-01	11:26	Mesa	Garden	426.49	Cash
2012-01-01	11:31	Mesa	Toys	390.32	Discover
2012-01-01	11:32	Mesa	Consumer Electronics	392.87	Discover
2012-01-01	11:36	Mesa	DVDs	350.62	Discover
2012-01-01	11:36	Mesa	Sporting Goods	230.36	Visa
2012-01-01	11:39	Mesa	Men's Clothing	106.73	MasterCard
2012-01-01	11:50	Mesa	Crafts	197.08	Discover
2012-01-01	11:58	Mesa	Baby	312.22	MasterCard
2012-01-01	11:58	Mesa	Books	181.51	MasterCard
2012-01-01	12:03	Mesa	Pet Supplies	493.13	Discover
2012-01-01	12:04	Mesa	Computers	119.92	MasterCard
2012-01-01	12:10	Mesa	Books	150.12	Visa
2012-01-01	12:11	Mesa	Garden	250.53	Amex
2012-01-01	12:12	Mesa	Women's Clothing	169.61	MasterCard
2012-01-01	12:21	Mesa	Crafts	5.9	MasterCard
2012-01-01	12:22	Mesa	Books	335.62	Visa
2012-01-01	12:23	Mesa	CDs	173.18	Discover
2012-01-01	12:28	Mesa	Baby	241.61	Discover
2012-01-01	12:40	Mesa	Children's Clothing	194.12	Discover
2012-01-01	12:41	Mesa	CDs	427.97	Cash
2012-01-01	12:45	Mesa	Music	271.61	MasterCard
2012-01-01	12:49	Mesa	Garden	75.64	MasterCard
